name,score,genres,type,episodes,premiered,producers,licensors,studios,source,rating,popularity,favorites
Tennis no Ouji-sama: Another Story - Kako to Mirai no Message Specials,7.14,"Comedy, Sports",Special,2,unknown,M.S.C,unknown,unknown,unknown,PG-13 - Teens 13 or older,6165,15
Shin Calimero,6.21,Comedy,TV,52,Fall 1992,unknown,unknown,Toei Animation,unknown,G - All Ages,9151,1
Tezuka Osamu no Buddha: Akai Sabaku yo! Utsukushiku,7.0,"Drama, Historical, Military, Supernatural",Movie,1,unknown,Tezuka Productions,unknown,Toei Animation,Manga,R - 17+ (violence & profanity),5425,18
Senjou no Valkyria: SenVal Theater,6.8,Comedy,Special,9,unknown,Sega,unknown,A-1 Pictures,Game,PG-13 - Teens 13 or older,4797,6
K-On!: Ura-On!,6.33,Comedy,Special,7,unknown,unknown,Sentai Filmworks,Kyoto Animation,Original,G - All Ages,2212,77
Fashion,4.41,"Comedy, Dementia",Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,11385,2
Ni-hiki no Sanma,5.0,Comedy,Movie,1,unknown,Kuri Jikken Manga Kobo,unknown,unknown,Original,G - All Ages,11572,0
G-senjou no Higeki,3.61,"Comedy, Dementia",Movie,1,unknown,Kuri Jikken Manga Kobo,unknown,unknown,Original,PG-13 - Teens 13 or older,10386,1
Heya,4.01,"Comedy, Dementia",Movie,1,unknown,Kuri Jikken Manga Kobo,unknown,unknown,Original,R+ - Mild Nudity,9739,1
Kiseichuu no Ichiya,5.11,"Dementia, Horror",Movie,1,unknown,unknown,unknown,unknown,Original,R - 17+ (violence & profanity),8830,10
Mado,4.8,Comedy,Movie,1,unknown,Kuri Jikken Manga Kobo,unknown,unknown,Original,G - All Ages,10963,0
Manga,4.67,Comedy,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,10705,1
Pop,3.79,Comedy,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,10445,1
Tonari no Yarou,4.64,Comedy,Movie,1,unknown,Kuri Jikken Manga Kobo,unknown,unknown,Original,G - All Ages,10819,0
Kemeko no Love,4.43,Comedy,Movie,1,unknown,unknown,unknown,unknown,Original,PG - Children,10053,1
Satsujinkyou Jidai,4.73,Fantasy,Movie,1,unknown,Kuri Jikken Manga Kobo,unknown,unknown,unknown,PG-13 - Teens 13 or older,10525,1
Kitte no Gensou,5.07,Comedy,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,11151,0
Seto no Hanayome OVA Specials,7.43,"Comedy, Parody, School",Special,2,unknown,unknown,unknown,Gonzo,Manga,PG-13 - Teens 13 or older,4734,2
Zan Sayonara Zetsubou Sensei Bangaichi,7.8,"Comedy, Parody, School, Shounen",OVA,2,unknown,unknown,unknown,Shaft,Manga,R - 17+ (violence & profanity),2765,38
Doraemon Movie 21: Nobita no Taiyou Ou Densetsu,7.28,"Adventure, Comedy, Fantasy, Historical, Kids, Shounen",Movie,1,unknown,unknown,unknown,Shin-Ei Animation,unknown,PG - Children,6146,3
Crush Gear Nitro,6.3,"Cars, Shounen, Sports",TV,50,Winter 2003,unknown,unknown,Sunrise,unknown,PG-13 - Teens 13 or older,9943,4
Shinshuu Sudama-hen,0,"Action, Martial Arts, Samurai, Historical, Seinen",OVA,4,unknown,Magic Bus,unknown,unknown,unknown,R+ - Mild Nudity,11816,0
Fault!!,7.06,Hentai,OVA,3,unknown,Cotton Doll,unknown,T-Rex,Visual novel,Rx - Hentai,3691,158
Kaichou wa Maid-sama!,8.06,"Comedy, Romance, School, Shoujo",TV,26,Spring 2010,"Geneon Universal Entertainment, TBS, Hakusensha, Half H.P Studio",Sentai Filmworks,J.C.Staff,Manga,PG-13 - Teens 13 or older,90,20397
Uragiri wa Boku no Namae wo Shitteiru,7.26,"Adventure, Drama, Fantasy, Shoujo, Shounen Ai",TV,24,Spring 2010,unknown,Funimation,J.C.Staff,Manga,R - 17+ (violence & profanity),1622,1030
Black★Rock Shooter (OVA),7.12,"Action, Slice of Life, Drama, School",OVA,1,unknown,"Rakuonsha, Good Smile Company",unknown,Ordet,Other,PG-13 - Teens 13 or older,916,911
Ring of Gundam,5.25,"Sci-Fi, Space, Mecha",Special,1,unknown,Robot Communications,unknown,Sunrise,Original,G - All Ages,7047,5
Hidamari Sketch x ☆☆☆,7.93,"Slice of Life, Comedy, School, Seinen",TV,12,Winter 2010,"Aniplex, Lantis, TBS, Movic, Houbunsha",Sentai Filmworks,Shaft,4-koma manga,PG-13 - Teens 13 or older,3383,143
Mahoromatic: Tadaima Okaeri,7.08,"Sci-Fi, Comedy, Romance, Ecchi",Special,2,unknown,unknown,Sentai Filmworks,Gainax,Manga,R+ - Mild Nudity,5297,5
Shoujouji no Tanuki-bayashi,4.92,Kids,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,11066,0
Ookamikakushi,6.34,"Action, Mystery, Horror, Supernatural",TV,12,Winter 2010,"TBS, flying DOG",Sentai Filmworks,AIC,Visual novel,PG-13 - Teens 13 or older,1869,91
Danball Senki,7.02,"Action, Kids, Mecha",TV,44,Spring 2011,"TV Tokyo, Dentsu",Dentsu Entertainment USA,OLM,Game,G - All Ages,5597,42
Shugo Chara! Party!,6.62,"Comedy, Magic, School, Shoujo",TV,25,Fall 2009,"TV Tokyo, Sotsu",unknown,Satelight,Manga,PG - Children,1972,278
Hakushaku to Yousei Specials,6.42,"Adventure, Fantasy, Magic, Historical",Special,6,unknown,unknown,unknown,Artland,Light novel,PG-13 - Teens 13 or older,5445,7
Ichiban Ushiro no Daimaou,6.89,"Action, Harem, Comedy, Magic, Ecchi, Fantasy, School",TV,12,Spring 2010,"Marvelous, Hobby Japan, Delfi Sound",Sentai Filmworks,Artland,Light novel,R+ - Mild Nudity,333,1198
Madou King Granzort: Saigo no Magical Taisen,6.37,"Action, Sci-Fi, Comedy, Magic, Fantasy, Mecha, Shounen",OVA,2,unknown,unknown,unknown,unknown,Original,G - All Ages,12681,1
Shoujo Fight: Norainu-tachi no Odekake,0,"Sports, Comedy, School, Seinen",OVA,1,unknown,unknown,unknown,Production I.G,unknown,PG-13 - Teens 13 or older,11467,1
Miracle☆Train: Oedo-sen e Youkoso,6.52,"Fantasy, Shoujo",TV,13,Fall 2009,"TV Tokyo, Aniplex, Lantis, DAX Production, TYO Animations",unknown,Yumeta Company,Original,PG-13 - Teens 13 or older,3869,41
Ougon Senshi Gold Lightan,6.07,"Action, Sci-Fi, Adventure, Mecha",TV,52,Spring 1981,unknown,unknown,Tatsunoko Production,Original,PG-13 - Teens 13 or older,11009,3
Shikabane Hime: Puchitto,6.19,Comedy,Special,1,unknown,unknown,unknown,Gainax,Manga,PG-13 - Teens 13 or older,6879,2
Gyouten Ningen Batsealer,0,"Action, Adventure, Fantasy, Magic",TV,52,Spring 2001,Group TAC,unknown,unknown,unknown,PG - Children,12491,3
Shounen Maid Kuuro-kun: Tenshi no Uta,5.55,"Hentai, Yaoi",OVA,1,unknown,Zyc,unknown,Natural High,Manga,Rx - Hentai,3866,122
Ginga Tetsudou no Yoru: Fantasy Railroad in the Stars,6.33,"Drama, Fantasy, Mystery",Movie,1,unknown,KAGAYA Studio,unknown,unknown,Novel,G - All Ages,9351,4
30th Gundam Perfect Mission,6.86,"Mecha, Sci-Fi",OVA,1,unknown,unknown,unknown,Sunrise,unknown,G - All Ages,6025,13
Pika Don,6.29,"Drama, Historical",Movie,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,11085,0
Dai Yamato Zero-gou,5.75,"Sci-Fi, Space",OVA,5,unknown,unknown,unknown,JCF,Original,PG-13 - Teens 13 or older,10136,2
Madou King Granzort: Bouken-hen,6.19,"Action, Sci-Fi, Comedy, Magic, Fantasy, Mecha, Shounen",OVA,3,unknown,unknown,unknown,unknown,Original,G - All Ages,12904,1
Mahou Sensei Negima! Movie: Anime Final,6.78,"Adventure, Supernatural, Magic",Movie,1,unknown,Studio Pastoral,unknown,Shaft,Manga,PG-13 - Teens 13 or older,3825,24
Gdleen,5.78,"Fantasy, Sci-Fi",OVA,1,unknown,"Ashi Production, Seta Corporation",unknown,unknown,unknown,R+ - Mild Nudity,10622,0
Uchuu Senkan Yamato: Fukkatsu-hen,7.02,"Action, Military, Adventure, Space, Drama",Movie,1,unknown,Toho,unknown,unknown,Original,PG-13 - Teens 13 or older,7495,5
Ladies versus Butlers!,6.64,"Harem, Comedy, Romance, Ecchi, School",TV,12,Winter 2010,"Geneon Universal Entertainment, Lantis, AT-X, KlockWorx, ASCII Media Works, BIGLOBE",Media Blasters,Xebec,Light novel,R+ - Mild Nudity,864,239
Anyamal Tantei Kiruminzoo,7.01,"Magic, Comedy, Shoujo",TV,50,Fall 2009,"Hal Film Maker, Sotsu, Starchild Records, MediaNet, AT-X, JM Animation, Aoni Entertainment",unknown,Satelight,Original,G - All Ages,5853,40
SM no Susume,5.27,Hentai,OVA,1,unknown,Milky Animation Label,unknown,unknown,unknown,Rx - Hentai,11723,0
Beat Shot!!,5.1,"Hentai, Sports",OVA,1,unknown,"AIC, Magic Bus",unknown,Gainax,Manga,Rx - Hentai,10958,1
Arei no Kagami: Way to the Virgin Space,5.65,"Action, Adventure, Sci-Fi, Space",Movie,1,unknown,unknown,unknown,Toei Animation,unknown,G - All Ages,10037,0
Dr. Slump Movie 07: Arale-chan N-cha! Penguin Mura yori Ai wo Komete,6.16,"Comedy, Sci-Fi, Shounen",Movie,1,unknown,Studio Core,unknown,Toei Animation,Manga,PG-13 - Teens 13 or older,10209,0
Dr. Slump Movie 09: Arale-chan N-cha!! Wakuwaku Hot no Natsuyasumi,6.19,"Comedy, Sci-Fi, Shounen",Movie,1,unknown,unknown,unknown,Toei Animation,Manga,PG-13 - Teens 13 or older,10415,0
Yoroshiku Mechadock,6.3,"Action, Cars, Comedy, Police, Sports",TV,30,Fall 1984,unknown,unknown,Tatsunoko Production,Manga,PG-13 - Teens 13 or older,9578,4
Yaruki Manman,5.3,"Comedy, Hentai, Parody",OVA,3,unknown,"Toei Video, Knack Productions",unknown,unknown,unknown,Rx - Hentai,11687,2
Catman Specials,5.92,"Slice of Life, Fantasy, Comedy",Special,4,unknown,Fuji TV,unknown,unknown,unknown,PG-13 - Teens 13 or older,11872,0
Ibarahime Mata wa Nemurihime,6.21,"Drama, Historical",Movie,1,unknown,Kawamoto Productions,unknown,unknown,Other,PG-13 - Teens 13 or older,10540,2
Kataku,6.08,"Supernatural, Demons, Historical",Movie,1,unknown,unknown,unknown,unknown,Other,PG-13 - Teens 13 or older,8900,3
Oni,6.12,"Demons, Historical, Supernatural",Movie,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,9454,3
Usaru-san,5.99,Kids,Special,4,unknown,unknown,unknown,OLM,unknown,PG - Children,10241,1
Himitsukessha Taka no Tsume Countdown,0,"Comedy, Parody, Super Power",TV,11,Fall 2009,Kaeruotoko Shokai,unknown,DLE,unknown,PG-13 - Teens 13 or older,12359,0
Cheburashka Arere?,6.46,"Kids, Slice of Life, Comedy",TV,26,Fall 2009,Dream Force,unknown,GoHands,Book,G - All Ages,7788,2
Gokyoudai Monogatari,0,Comedy,TV,32,Fall 2009,unknown,unknown,unknown,Manga,G - All Ages,12784,1
Tony's Heroine Series: Kanojo wa Hanayome Kouhosei? Cinderella Collection,6.83,Hentai,OVA,2,unknown,MS Pictures,unknown,unknown,Original,Rx - Hentai,5837,29
Makai Tenshi Djibril 3,6.24,"Fantasy, Harem, Hentai, School, Supernatural",OVA,2,unknown,Milky Animation Label,unknown,unknown,Visual novel,Rx - Hentai,6741,14
Kotatsu Neko (TV),0,Comedy,TV,26,Fall 2009,Iyasakadou Film,unknown,unknown,Other,G - All Ages,12438,0
Choujikuu Romanesque Samy: Missing 99,4.66,"Action, Sci-Fi",OVA,1,unknown,Project Team Eikyuu Kikan,unknown,unknown,unknown,PG-13 - Teens 13 or older,10202,4
Aoi Bungaku Series,7.74,"Drama, Historical, Psychological, Seinen, Thriller",TV,12,Fall 2009,"Movic, Happinet Pictures, RAY",unknown,Madhouse,Novel,R - 17+ (violence & profanity),885,1376
Rose O'Neill Kewpie,0,Comedy,TV,26,Winter 2010,unknown,unknown,TMS Entertainment,Other,G - All Ages,13788,0
Sekai Douwa Anime Zenshuu,0,"Adventure, Kids, Fantasy",OVA,10,unknown,unknown,Saban Entertainment,unknown,unknown,G - All Ages,12757,4
Macross F Movie 2: Sayonara no Tsubasa,7.97,"Action, Mecha, Military, Music, Romance, Sci-Fi, Space",Movie,1,unknown,unknown,unknown,"Satelight, 8bit",Original,PG-13 - Teens 13 or older,3347,120
Black Jack ONA,6.52,Drama,ONA,12,unknown,unknown,unknown,unknown,unknown,PG - Children,8530,0
Hoshi ni Negai wo: Cold Body + Warm Heart,6.16,"Adventure, Sci-Fi",ONA,1,unknown,unknown,unknown,unknown,unknown,PG-13 - Teens 13 or older,9182,1
Suisei,5.11,"Comedy, Dementia",Movie,1,unknown,TBS,unknown,unknown,unknown,G - All Ages,10170,0
Hyakka Zukan,5.42,Comedy,Movie,1,unknown,"Yamamura Animation, Inc.",unknown,unknown,unknown,G - All Ages,11270,0
Sekai Meisaku Douwa: Wow! Maerchen Oukoku,6.52,Fantasy,TV,26,Spring 1995,unknown,unknown,Toei Animation,unknown,G - All Ages,11482,1
Naked Wolves,5.96,"Action, Kids, Sports, Comedy",TV,52,Spring 2009,"Pony Canyon, Kyotoma",unknown,Kate Arrow,Original,PG - Children,11718,1
Top wo Nerae! Gunbuster Specials,5.72,"Mecha, Space",Special,3,unknown,unknown,unknown,Gainax,Original,PG-13 - Teens 13 or older,6279,0
Grick no Bouken,6.05,"Adventure, Kids, Drama, Fantasy",Movie,1,unknown,unknown,unknown,Studio Korumi,Book,G - All Ages,12468,1
Harukanaru Toki no Naka de 3: Owarinaki Unmei,6.63,"Action, Fantasy, Military, Supernatural, Demons, Historical, Shoujo",Special,1,unknown,Yumeta Company,unknown,unknown,Visual novel,PG-13 - Teens 13 or older,8269,2
Hanaori,5.46,Comedy,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,11039,0
Shijin no Shougai,5.72,"Drama, Fantasy, Psychological",Movie,1,unknown,unknown,unknown,unknown,Original,PG - Children,10051,1
Tabi,5.41,"Fantasy, Psychological",Movie,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,10468,1
Kenju Giga,5.0,"Parody, Psychological",Movie,1,unknown,unknown,unknown,unknown,Original,PG-13 - Teens 13 or older,10726,0
Mameshiba,7.07,Comedy,Special,24,unknown,Dentsu,unknown,unknown,Original,G - All Ages,6679,20
Kagirohi: Shaku Kei,6.04,Hentai,OVA,2,unknown,unknown,unknown,PoRO,Visual novel,Rx - Hentai,6467,18
Onmyouji Ayakashi no Megami: Inran Jubaku,5.9,"Hentai, Yuri",OVA,2,unknown,"Milky Animation Label, T-Rex",unknown,unknown,Original,Rx - Hentai,6850,12
Kara no Shoujo,5.62,"Hentai, Mystery",OVA,2,unknown,"Milky Animation Label, Innocent Grey",unknown,Flavors Soft,Visual novel,Rx - Hentai,6144,21
Binkan Athlete,6.38,Hentai,OVA,1,unknown,unknown,unknown,T-Rex,Visual novel,Rx - Hentai,5919,15
Diabolus: Kikoku,6.25,Hentai,OVA,2,unknown,unknown,unknown,PoRO,Visual novel,Rx - Hentai,6253,21
Mobile Suit Gundam 00 Special Edition,7.6,"Action, Drama, Mecha, Military, Sci-Fi",OVA,3,unknown,"Sotsu, Asatsu DK, Mainichi Broadcasting System",unknown,Sunrise,unknown,PG-13 - Teens 13 or older,4863,38
Nido to Mezamenu Komori Uta,5.37,"Dementia, Drama",Movie,1,unknown,unknown,unknown,unknown,Original,R+ - Mild Nudity,9213,8
Natsumushi The Animation,6.55,Hentai,OVA,2,unknown,Pink Pineapple,unknown,unknown,Manga,Rx - Hentai,6411,13
TO,6.39,"Action, Sci-Fi, Space, Drama, Seinen",OVA,2,unknown,Oxybot,Funimation,unknown,Manga,PG-13 - Teens 13 or older,6453,4
Ginga Tetsudou 999: Diamond Ring no Kanata e,6.61,"Adventure, Drama, Sci-Fi",Movie,1,unknown,unknown,unknown,Toei Animation,unknown,G - All Ages,9863,1
Cyborg 009: Kaijuu Sensou,5.92,"Action, Adventure, Sci-Fi",Movie,1,unknown,unknown,unknown,unknown,unknown,PG - Children,9443,2
Licca-chan Fushigi na Mahou no Ring,5.84,"Adventure, Fantasy",OVA,2,unknown,unknown,unknown,Ajia-Do,unknown,G - All Ages,11279,0
Koi Tsubomi,6.31,"Music, Kids, Fantasy",Music,1,unknown,unknown,unknown,unknown,Original,G - All Ages,9187,3
Michi (2004),5.35,"Music, Kids",Music,1,unknown,unknown,unknown,unknown,Original,G - All Ages,11593,0
Detective Conan: Black History,7.61,"Adventure, Mystery, Comedy, Police, Shounen",Special,1,unknown,unknown,unknown,TMS Entertainment,unknown,PG-13 - Teens 13 or older,5812,8
Detective Conan Movie 08: Time Travel of the Silver Sky,7.83,"Adventure, Mystery",Special,1,unknown,unknown,unknown,TMS Entertainment,unknown,PG-13 - Teens 13 or older,4009,8
Detective Conan Movie 10: Promo Special,7.66,"Adventure, Police, Comedy, Mystery, Shounen",Special,1,unknown,unknown,unknown,TMS Entertainment,unknown,PG-13 - Teens 13 or older,5349,7
Gegege no Kitarou (1985),6.54,"Comedy, Supernatural",TV,108,Fall 1985,unknown,unknown,Toei Animation,Manga,G - All Ages,9172,3
Mirai Shounen Conan (Movie),6.95,"Adventure, Drama, Sci-Fi",Movie,1,unknown,unknown,unknown,Nippon Animation,Novel,PG-13 - Teens 13 or older,8893,5
Suzumiya Haruhi no Shoushitsu,8.65,"Comedy, Mystery, Romance, School, Sci-Fi, Supernatural",Movie,1,unknown,"Kadokawa Shoten, Animation Do","Funimation, Bandai Entertainment",Kyoto Animation,Light novel,PG-13 - Teens 13 or older,243,11585
Yona Yona Penguin,5.84,"Adventure, Fantasy, Kids",Movie,1,unknown,unknown,Maiden Japan,Madhouse,unknown,G - All Ages,10837,0
Needless+: Saint Lily Gakuen no Himitsu,6.75,"Comedy, Ecchi, School, Seinen",Special,12,unknown,unknown,Sentai Filmworks,Madhouse,Manga,PG-13 - Teens 13 or older,4198,13
Tottoko Hamtarou Movie 1: Ham-Ham Land Daibouken,6.66,"Kids, Adventure, Comedy",Movie,1,unknown,Shogakukan-Shueisha Productions,unknown,TMS Entertainment,unknown,PG - Children,8493,3
Tottoko Hamtarou Movie 2: Ham-Ham Hamuuja! Maboroshi no Princess,6.64,"Adventure, Comedy, Kids",Movie,1,unknown,Shogakukan-Shueisha Productions,unknown,TMS Entertainment,unknown,PG - Children,9121,4
Koisuru Tenshi Angelique: Kagayaki no Ashita Special,6.71,"Fantasy, Romance",Special,1,unknown,unknown,unknown,unknown,unknown,PG-13 - Teens 13 or older,8947,1
Bakugan Battle Brawlers: Gundalian Invaders,6.21,"Action, Adventure, Fantasy, Game, Shounen",TV,39,Spring 2010,Sega,Nelvana,TMS Entertainment,Original,G - All Ages,2832,168
Cyborg 009: Chou Ginga Densetsu,6.37,"Action, Sci-Fi, Space",Movie,1,unknown,unknown,unknown,Toei Animation,unknown,PG-13 - Teens 13 or older,8931,3
"Hetalia Axis Powers Movie: Paint it, White",7.15,"Comedy, Historical, Parody",Movie,1,unknown,Frontier Works,Funimation,Studio Deen,Web manga,PG-13 - Teens 13 or older,2194,320
Darker than Black: Kuro no Keiyakusha Gaiden,7.97,"Action, Mystery, Sci-Fi, Super Power",Special,4,unknown,Square Enix,Funimation,Bones,Original,R - 17+ (violence & profanity),664,911
Youbi Masochist Animation,5.34,Hentai,OVA,2,unknown,unknown,unknown,unknown,unknown,Rx - Hentai,12140,3
Chikara to Onna no Yo no Naka,0,Historical,Movie,1,unknown,unknown,unknown,unknown,Original,G - All Ages,12533,0
Hokuto no Ken: Legend of Heroes,6.06,"Action, Martial Arts",Special,1,unknown,unknown,unknown,Toei Animation,unknown,PG-13 - Teens 13 or older,7656,4
Dragon Quest: Dai no Daibouken Buchiyabure!! Shinsei 6 Daishougun,6.49,"Action, Adventure, Magic, Fantasy, Shounen",Movie,1,unknown,unknown,unknown,Toei Animation,Game,PG-13 - Teens 13 or older,9338,2
"Boku no Chikyuu wo Mamotte: Alice kara, Rin-kun e",6.68,"Drama, Romance, Sci-Fi, Shoujo",Movie,1,unknown,"Victor Entertainment, Hakusensha",unknown,Production I.G,unknown,PG-13 - Teens 13 or older,9238,3
Naruto: The Cross Roads,6.82,"Action, Adventure, Comedy, Shounen",Special,1,unknown,unknown,unknown,Studio Pierrot,Original,PG-13 - Teens 13 or older,2567,58
100%,5.46,Drama,OVA,1,unknown,unknown,unknown,Nippon Animation,unknown,R+ - Mild Nudity,11191,0
Shakugan no Shana-tan S,6.9,"Comedy, Parody",Special,4,unknown,unknown,Funimation,J.C.Staff,Light novel,PG-13 - Teens 13 or older,3459,8
Kurumiwari Ningyou,6.03,"Drama, Fantasy, Romance",Movie,1,unknown,Sanrio,Discotek Media,unknown,unknown,G - All Ages,11796,1
Fuyu no Sonata Episode 0,6.52,"Drama, Romance",Special,1,unknown,Yoon's Color,unknown,"Studio Comet, KeyEast, REALTHING",Other,PG-13 - Teens 13 or older,7066,2
Card Wang: Mix Master,6.49,"Game, Adventure, Fantasy, Shounen",TV,39,Fall 2005,"Sunwoo Entertainment, KBS",unknown,Nippon Animation,unknown,PG - Children,9734,5
Shuffle! Prologue,6.72,"Fantasy, Magic, Comedy, Harem, Romance, School, Seinen",OVA,1,unknown,Lantis,unknown,Asread,Visual novel,PG-13 - Teens 13 or older,4066,4
Sekai Meisaku Douwa,0,Fantasy,OVA,20,unknown,unknown,unknown,unknown,unknown,G - All Ages,12355,2
Jankenman,6.14,"Adventure, Super Power",TV,51,Spring 1991,"TV Tokyo, Ashi Production, Big West",unknown,unknown,unknown,PG - Children,11876,1
Kanojo x Kanojo x Kanojo: Sanshimai to no DokiDoki Kyoudou Seikatsu,7.48,"Harem, Hentai",OVA,3,unknown,"Milky Animation Label, MS Pictures",Kitty Media,Studio Eromatick,Visual novel,Rx - Hentai,2588,557
Mukougaoka Chisato wa Tada Mitsumeteita no Datta,6.06,Music,Music,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,9824,4
Socket,0,Kids,OVA,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,14059,0
Wrestler Gundan Seisenshi Robin Jr.,0,"Action, Adventure, Comedy, Fantasy, Kids, Parody, Sci-Fi, Super Power",TV,50,Fall 1989,unknown,unknown,unknown,unknown,G - All Ages,13501,2
Byulbyul Iyagi,0,"Psychological, Drama",Movie,6,unknown,Chungeorahm Film,unknown,unknown,unknown,PG-13 - Teens 13 or older,12718,0
"The Tales of Rien Village #1: ""Toilet ni Ittokiya""",5.39,Fantasy,ONA,1,unknown,The Village of Marchen,unknown,unknown,Original,G - All Ages,12254,0
Getsumen To Heiki Mina Specials,6.04,"Action, Comedy, Ecchi, Shounen, Super Power",Special,2,unknown,unknown,unknown,unknown,unknown,PG-13 - Teens 13 or older,9982,0
Konjiki no Gash Bell!!: Ougon no Chichi wo Motsu Otoko,6.46,"Action, Adventure, Comedy, Ecchi, Kids, Magic, Romance, Super Power, Supernatural",OVA,1,unknown,unknown,unknown,Toei Animation,unknown,PG-13 - Teens 13 or older,7705,0
Dragon Quest: Dai no Daibouken,6.64,"Adventure, Demons, Magic, Fantasy, Shounen",Movie,1,unknown,unknown,unknown,Toei Animation,Game,G - All Ages,8940,5
Dragon Quest: Dai no Daibouken Tachiagare!! Aban no Shito,6.49,"Action, Adventure, Magic, Fantasy, Shounen",Movie,1,unknown,unknown,unknown,Toei Animation,Game,PG-13 - Teens 13 or older,9296,4
Karo to Piyobupt: Ouchi,5.13,Comedy,Movie,1,unknown,"Yamamura Animation, Inc.",unknown,unknown,Original,G - All Ages,11707,1
Karo to Piyobupt: Sandwich,5.15,Comedy,Movie,1,unknown,"Yamamura Animation, Inc.",unknown,unknown,Original,G - All Ages,11765,0
Pacusi,5.6,Comedy,TV,18,Spring 1994,NHK,unknown,unknown,unknown,G - All Ages,12683,0
Pacusi no Uta,5.41,Comedy,Special,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,13102,0
Kipling Jr.,5.48,Comedy,Movie,1,unknown,"Yamamura Animation, Inc.",unknown,unknown,unknown,G - All Ages,12185,0
Kid's Castle,5.35,Comedy,Movie,1,unknown,"Yamamura Animation, Inc.",unknown,unknown,unknown,G - All Ages,11492,0
Mini Moni Yaru no da Pyon!,0,Comedy,TV,66,Summer 2001,unknown,unknown,unknown,Other,G - All Ages,13177,1
AIKa Zero Picture Drama,5.6,Ecchi,Special,3,unknown,unknown,unknown,Studio Fantasia,Original,R+ - Mild Nudity,6951,9
Kurutta Kyoutou: Danzai no Gakuen,5.43,"Hentai, School",OVA,1,unknown,Studio 9 MAiami,unknown,unknown,Visual novel,Rx - Hentai,8565,1
Discipline Zero,6.58,Hentai,OVA,2,unknown,Studio 9 MAiami,unknown,unknown,Visual novel,Rx - Hentai,5016,51
Watashi no Shiranai Mesu no Kao,6.15,Hentai,OVA,1,unknown,"Studio Eromatick, Mary Jane",unknown,unknown,Visual novel,Rx - Hentai,6888,28
The Collected Animations of ICAF (2001-2006),0,"Fantasy, Mystery",OVA,16,unknown,unknown,unknown,unknown,unknown,PG-13 - Teens 13 or older,13582,0
Komaneko no Christmas: Maigo ni Natta Present,6.06,"Comedy, Fantasy",Movie,1,unknown,dwarf,unknown,unknown,unknown,G - All Ages,12675,0
Weiß Survive R,6.1,"Comedy, Ecchi, Game",TV,12,Winter 2010,TBS,unknown,Studio Hibari,Card game,PG-13 - Teens 13 or older,4896,4
Eve no Jikan (Movie),8.05,"Sci-Fi, Slice of Life",Movie,1,unknown,"Directions, Code","NYAV Post, Pied Piper",Studio Rikka,Original,PG-13 - Teens 13 or older,1328,599
Hashire!,5.86,Comedy,ONA,1,unknown,unknown,unknown,unknown,unknown,G - All Ages,10664,0
Princess Lover! Picture Drama,6.2,"Harem, Comedy, Ecchi, School",Special,6,unknown,unknown,unknown,GoHands,Visual novel,R+ - Mild Nudity,4651,7
Detective Conan Movie 09: Promo Special,7.62,"Adventure, Police, Comedy, Mystery, Shounen",Special,1,unknown,unknown,unknown,TMS Entertainment,unknown,PG-13 - Teens 13 or older,5387,4
Gintama Movie 1: Shinyaku Benizakura-hen,8.52,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen",Movie,1,unknown,"TV Tokyo, Aniplex, Dentsu, Bandai, Warner Bros. Japan, Shueisha",Sentai Filmworks,Sunrise,Manga,R - 17+ (violence & profanity),1243,559
Rennyo to Sono Haha,0,Historical,Movie,1,unknown,unknown,unknown,unknown,unknown,PG - Children,13534,0
"Onegai☆Teacher: Marie, Ai no Gekijou",6.75,"Comedy, Romance, Drama, Sci-Fi",Special,1,unknown,Bandai Visual,unknown,unknown,Original,PG-13 - Teens 13 or older,4843,7
Ano Ko ni 1000%,5.23,"Romance, School, Shoujo",OVA,1,unknown,Visual 80,unknown,unknown,Manga,PG-13 - Teens 13 or older,8889,1
Fusha no Sha,6.46,"Adventure, Martial Arts, Samurai, Supernatural, Historical",Movie,1,unknown,Shanghai Animation Film Studio,unknown,unknown,Other,PG - Children,10930,3
Karate Baka Ichidai,0,"Adventure, Historical, Sports, Martial Arts",TV,47,Fall 1973,unknown,Discotek Media,TMS Entertainment,Manga,PG-13 - Teens 13 or older,10750,3
"Yume kara, Samenai",4.79,"Romance, School",OVA,1,unknown,unknown,unknown,Shaft,unknown,PG-13 - Teens 13 or older,10329,0
Urashima Tarou,4.73,Historical,Movie,1,unknown,unknown,unknown,unknown,Other,G - All Ages,8898,2
